date,cases_rolling,deaths_rolling,tests_rolling,positive_rate_rolling
2020-03-10,38.42857142857143,0.0,,
2020-03-12,75.85714285714286,0.0,,
2020-03-13,105.28571428571429,0.0,,
2020-03-14,132.71428571428572,0.0,,
2020-03-15,167.28571428571428,0.0,,
2020-03-16,214.28571428571428,0.14285714285714285,,
2020-03-17,270.42857142857144,0.14285714285714285,95.28571428571429,0.5680431939128154
2020-03-18,325.57142857142856,0.2857142857142857,157.42857142857142,0.45467491081976175
2020-03-19,366.7142857142857,0.7142857142857143,213.85714285714286,0.3428422989871499
2020-03-20,414.7142857142857,0.8571428571428571,291.2857142857143,0.2521280132728642
2020-03-21,445.42857142857144,1.5714285714285714,384.2857142857143,0.25914758756964884
2020-03-22,472.42857142857144,2.5714285714285716,445.42857142857144,0.2263051465639425
2020-03-23,517.2857142857143,3.857142857142857,523.8571428571429,0.2640032759370683
2020-03-24,531.7142857142857,5.857142857142857,546.0,0.2973064494232115
2020-03-25,546.8571428571429,8.0,598.4285714285714,0.3270597173944008
2020-03-26,567.2857142857143,11.285714285714286,739.1428571428571,0.3477575407714421
2020-03-27,585.7142857142857,14.714285714285714,882.5714285714286,0.3719384563809292
2020-03-28,603.0,18.0,948.2857142857143,0.4036205329572598
2020-03-29,603.0,22.142857142857142,1016.7142857142857,0.4196688984732385
2020-03-30,624.5714285714286,26.285714285714285,1242.5714285714287,0.4208659331040053
2020-03-31,645.0,34.285714285714285,1426.7142857142858,0.43259332874888096
2020-04-01,678.0,41.714285714285715,1728.4285714285713,0.43804122796778044
2020-04-02,685.0,48.0,1918.2857142857142,0.45184338595418916
2020-04-03,678.7142857142857,53.714285714285715,2017.4285714285713,0.4578149868673254
2020-04-04,675.4285714285714,59.285714285714285,2372.8571428571427,0.446972709832241
2020-04-05,672.2857142857143,62.42857142857143,2544.285714285714,0.440207797140339
2020-04-06,645.1428571428571,66.57142857142857,2578.5714285714284,0.4513331941826326
2020-04-07,630.2857142857143,70.0,2618.285714285714,0.4441566222183524
2020-04-08,589.4285714285714,71.28571428571429,2437.714285714286,0.43371942904456734
2020-04-09,577.0,71.42857142857143,2341.0,0.42244268561168435
2020-04-10,558.2857142857143,75.71428571428571,2307.8571428571427,0.41221363847681614
2020-04-11,527.7142857142857,78.85714285714286,2018.4285714285713,0.40375070245919653
2020-04-12,507.85714285714283,84.71428571428571,1922.4285714285713,0.38843075190000903
2020-04-13,475.57142857142856,84.71428571428571,1825.7142857142858,0.3755953216926586
2020-04-14,446.57142857142856,81.85714285714286,1857.7142857142858,0.35866109877520513
2020-04-15,427.42857142857144,81.42857142857143,1931.2857142857142,0.35598457418885004
2020-04-16,404.14285714285717,82.42857142857143,1981.0,0.3411560168495197
2020-04-17,380.0,79.57142857142857,1950.5714285714287,0.3237109564626361
2020-04-18,372.0,77.28571428571429,1982.5714285714287,0.31425123864444854
2020-04-19,355.42857142857144,73.0,1922.857142857143,0.30127911582546624
2020-04-20,344.57142857142856,70.85714285714286,1944.5714285714287,0.2862156040899417
2020-04-21,341.14285714285717,69.71428571428571,1979.142857142857,0.2716876690160316
2020-04-22,331.85714285714283,69.42857142857143,2126.5714285714284,0.24727119185987467
2020-04-23,326.42857142857144,65.14285714285714,2346.4285714285716,0.23321641173098742
2020-04-24,323.14285714285717,63.714285714285715,2491.714285714286,0.21874205541501962
2020-04-25,308.85714285714283,62.714285714285715,2540.714285714286,0.19704764207120345
2020-04-26,305.14285714285717,61.142857142857146,2775.4285714285716,0.17472185167637314
2020-04-27,297.0,61.285714285714285,2899.5714285714284,0.15865504069619238
2020-04-28,282.42857142857144,60.142857142857146,3001.714285714286,0.1472799542494117
2020-04-29,264.14285714285717,57.714285714285715,3108.1428571428573,0.13696733789212218
2020-04-30,251.57142857142858,58.285714285714285,3225.285714285714,0.1264913934456275
2020-05-01,239.57142857142858,55.285714285714285,3429.285714285714,0.117317042132798
